i1	i10	i11	i12	i13	i14	i15	i16	i2	i3	i4	i5	i6	i7	i8	i9
OTU_100494_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100502_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU_100507_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100509_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_100521_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100522_16S	2	3	2	3	5	1	1	2	2	0	1	3	1	0	2	1
OTU_100530_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_100541_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_100542_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_10057_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_100583_16S	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
OTU_100588_16S	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1
OTU_100590_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100591_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_100596_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_100598_16S	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
OTU_10060_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_100633_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100638_16S	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
OTU_100656_16S	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
OTU_100660_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100666_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10067_16S	1	1	1	0	1	1	3	1	1	3	1	0	5	1	0	1
OTU_100678_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_100679_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_100681_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_100687_16S	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_10069_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_100697_16S	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_100698_16S	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU_100699_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_100703_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_100715_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU_10072_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_10073_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_100736_16S	2	2	1	1	4	0	2	1	1	1	3	0	1	3	2	1
OTU_100738_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU_100749_16S	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100756_16S	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU_100761_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100763_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100773_16S	1	5	1	3	3	4	0	5	1	0	3	1	1	1	1	1
OTU_100774_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100790_16S	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
OTU_100791_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_100798_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10081_16S	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0
OTU_100813_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_100823_16S	0	1	1	1	0	0	0	0	0	0	0	2	0	0	1	0
OTU_100825_16S	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_100828_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_100833_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100842_16S	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
OTU_100844_16S	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
OTU_100848_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_100849_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_100850_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_100858_16S	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_10087_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_100873_16S	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
OTU_100879_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_100881_16S	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
OTU_100889_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100899_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_100903_16S	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_100905_16S	1	0	2	3	1	1	2	2	0	1	0	2	2	0	2	1
OTU_100914_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100916_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_10092_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100921_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_100925_16S	1	0	0	3	1	3	1	0	0	0	0	1	0	3	0	1
OTU_100952_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100953_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_100957_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100973_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100978_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_100982_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100983_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_100985_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_100994_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU_101003_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_10101_16S	17	13	10	11	16	13	14	24	20	17	14	16	16	12	12	17
OTU_101010_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_101011_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101021_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101022_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101025_16S	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0
OTU_101047_16S	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_10105_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101052_16S	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
OTU_101058_16S	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU_101064_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_101072_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_101073_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_101081_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101093_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101099_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1011_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101102_16S	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU_101111_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_101112_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101119_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_101128_16S	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU_101137_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10114_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101143_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101153_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_101154_16S	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_10116_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101167_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101169_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU_101193_16S	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
OTU_1012_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101205_16S	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
OTU_101206_16S	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
OTU_101219_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_101228_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_101235_16S	0	1	1	1	1	0	3	0	0	0	2	0	0	0	1	2
OTU_101236_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_101242_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
